Location,Details,Space,Bedrooms,Bathrooms,Description,Price
مصر الجديدة,فيلا للبيع,550,1,3,أكثر من 6 غرف | ٣ حمّامات ,14000000
القاهرة الجديدة,شقه 3 غرف تشطيب الترا سوبر فى كمبوند Address east القاهره الجديده جنب مدينتى,140,3,2,٣ غرف نوم | حمّامين ,1260000
القاهرة الجديدة,شقة للبيع فى الحى السادس بيت الوطن القاهرة الجديدة,220,3,3,٣ غرف نوم | ٣ حمّامات ,3520000
مدينة نصر,تعاقد علي شقه 83 متر غرفتين بمقدم 112الف وقسط الباقي علي 8 سنين بدون فوائد في قلب مدينه نصر,83,2,1,٢ غرفتا نوم | حمّام ,112000
اكتوبر الجديدة,شقه للبيع في اكتوبر بمقدم 0%,125,2,1,٢ غرفتا نوم | حمّام ,157000
مدينة الرحاب,شقة تمليك 124 متر بحدديقة 70 امام السوق الشرقي,124,2,2,٢ غرفتا نوم | حمّامين ,45000000
المعادي,شقة تمليك مساحه 150متر تشطيب سوبر لوكس بزهراء المعادي,150,3,1,٣ غرف نوم | حمّام ,1250000
العاصمة الإدارية الجديدة,شقة نصف تشطيب استلام فوري بالعاصمة الأداريه  الجديدة,125,2,2,٢ غرفتا نوم | حمّامين ,4080000
مدينة الشروق,شقه 100م متشطبه وامامى وليس اخير ب925الف لسرعة البيع بمدينة الشروق,100,2,1,٢ غرفتا نوم | حمّام ,925
عين شمس,104شارع الزهراء عين شمس الشرقيه امام بي تك  و Bm,165,3,2,٣ غرف نوم | حمّامين ,550000
التجمع الخامس,شقه للبيع في التجمع الخامس علي التسعين مباشرة متشطبه بالتكيفات,121,2,3,٢ غرفتا نوم | ٣ حمّامات ,800000
مدينة بدر,للبيع بالحي المتميز شقق 145م,145,3,2,٣ غرف نوم | حمّامين ,800000
التجمع الخامس,شقة للبيع في كمبوند ذا ايكون جاردنز التجمع الخامس,110,2,2,٢ غرفتا نوم | حمّامين ,2500000
المطرية,شقه للبيع المطريه,80,3,1,٣ غرف نوم | حمّام ,320000
التجمع الخامس,شقه للبيع متشطبه 205م في التجمع الخامس في الجولدن اسكوير,205,5,4,٥ غرف نوم | ٤ حمّامات ,800000
التجمع الخامس,شقة ريسيل 202 م بكمبوند فخم بالعاصمة الادارية بارخص سعر متر 14 الف,202,3,2,٣ غرف نوم | حمّامين ,2000000
دار السلام,شقه سوبر لوكس للبيع بالتقسيط في دار السلام في احسن منطقه (عرض شارع 22م),12,3,2,٣ غرف نوم | حمّامين ,400000
مدينتي,"شقة للبيع 107 م تخصيص 
الدور 1",107,3,2,٣ غرف نوم | حمّامين ,2233000
مدينة الشروق,شقة لقطه للبيع في مدينة الشروق (حي راقي),171,3,2,٣ غرف نوم | حمّامين ,1700000
التجمع الخامس,شقة متشطبه سوبرلوكس بالتكييفات في قلب التجمع الخامس في fifth square-المراسم,134,2,2,٢ غرفتا نوم | حمّامين ,830000
العاصمة الإدارية الجديدة,شقه 200 م بالسعر القديم بR7 كلها واجهه باميز عماره  ڤيو مسرح ونافورة العاصمة الإدارية,200,3,3,٣ غرف نوم | ٣ حمّامات ,2250000
القاهرة الجديدة,شقة للبيع 160 متر في بيت الوطن,0,3,3,٣ غرف نوم | ٣ حمّامات ,12500
مدينة نصر,شقة للبيع 128 متر تشطيب سوبر لوكس عباس العقاد,128,2,2,٢ غرفتا نوم | حمّامين ,1300000
اكتوبر الجديدة,شقق للبيع متشطب ونص تشطيب,80,2,1,٢ غرفتا نوم | حمّام ,770000
النزهة,فرصة العمر للتمليك شقه بحمام سباحه خاص هاي لوس 245 م بالدور السابع بالنزهه الجديده,245,3,2,٣ غرف نوم | حمّامين ,1950000
المرج,شقه للبيع بالمرج قريبه من الدائري,110,2,1,٢ غرفتا نوم | حمّام ,450000
اكتوبر الجديدة,شقه للبيع ف اكتوبر الحي الاول,135,3,2,٣ غرف نوم | حمّامين ,0
مدينتي,شقه لقطه في مدينتي,114,3,2,٣ غرف نوم | حمّامين ,2415000
العاشر من رمضان,شقة 237 متر للبيع، مجاورة 24، تقسيم أطباء بالعاشر من رمضان.,237,3,2,٣ غرف نوم | حمّامين ,1200000
العاصمة الإدارية الجديدة,شقه لقطه ف العاصمه الاداريه,200,4,4,٤ غرف نوم | ٤ حمّامات ,2600000
مدينة بدر,شقه للبيع تاني نمره من العاصمه الاداريه ب 850الف علي سنه من المالك ف الحي المتميز,145,3,2,٣ غرف نوم | حمّامين ,850000
العبور,للبيع بمدينة العبور الحي السادس حي الفيلات الراقي فيلا دبلكس للببع,320,4,3,٤ غرف نوم | ٣ حمّامات ,2700000
المعادي,شقه لقطه ارقي مكان علي كرونيش المعادي قدام نادي اليخت مباشرة  كلها علي النيل مساحه كبيره جدا أ في في,500,4,4,٤ غرف نوم | ٤ حمّامات ,15000000
العاصمة الإدارية الجديدة,شقة للبيع متشطبة بالتكييفات بالعاصمة الادارية الجديدة مصر بسعر 3 مليون جنيه,200,3,2,٣ غرف نوم | حمّامين ,3000000
التجمع الأول,شقه 3 غرف دابل فيو للبيع بكمبوند تاج سيتي بمقدم 580 الف,155,3,3,٣ غرف نوم | ٣ حمّامات ,5800000
مدينتي,شقه 112م بجاردن 66م للبيع بكمبوند سراي بخصم 37% علي الكاش,112,2,2,٢ غرفتا نوم | حمّامين ,3925000
مدينتي,شقة 85 م تخصيص للبيع,85,2,1,٢ غرفتا نوم | حمّام ,1773000
العبور,لقطه بسعر مميز شقة للبيع ف العبور الحي التاسع,140,3,2,٣ غرف نوم | حمّامين ,1300000
مدينة بدر,للبيع شقة سكنية 120 متر منطقة مميزة وراقية,120,3,2,٣ غرف نوم | حمّامين ,650000
التجمع الخامس,شقتك غى الجولدن سكوير التجمع الخامس كومباوند جرايا مزايا الشقق الفندقية,70,2,2,٢ غرفتا نوم | حمّامين ,2932000
العاصمة الإدارية الجديدة,"3,000,000 شقه بالعاصمة الاداريه بالتقسيط و الاستلام متشطب بالتكيفات",215,3,2,٣ غرف نوم | حمّامين ,3000000
التجمع الخامس,Silvia compound,185,3,2,٣ غرف نوم | حمّامين ,0
التجمع الخامس,شقة فى التجمع 178 متر متشطبة بالتكيفات للبيع بداخل كمبوند ساكن ع #التسعين_الشمالى,178,3,3,٣ غرف نوم | ٣ حمّامات ,10
التجمع الخامس,شقة 158 م بمكبوند بالتجمع الخامس بمقدم 550 الف فقط وتقسيط حتي 8 سنوات,158,3,2,٣ غرف نوم | حمّامين ,550000
التجمع الخامس,185م واجهه بانوراما بكمباوند silvia في التجمع الخامس تقسيط علي 10 سنوات,185,3,3,٣ غرف نوم | ٣ حمّامات ,3400000
العاصمة الإدارية الجديدة,شقة للبيع مساحة 173 متر بالسعر القديم  . في ارقي احياء العاصمة الادارية داخل كومبوند متكامل الخدمات,173,3,3,٣ غرف نوم | ٣ حمّامات ,350000
التجمع الأول,شقة للبيع في كمبوند تاج سيتي القاهرة الجديدة قريبه جدا من مطار القاهرة الدولي,155,3,2,٣ غرف نوم | حمّامين ,400000
التجمع الخامس,"شقة للبيع بالاندلس بعد كمبوند ماوتن فيو و بجوار كمبوند 
قطامية ديونز 
عمارة بها جميع المرافق وً استل",100,2,1,٢ غرفتا نوم | حمّام ,1000300
التجمع الخامس,شقة 202 م ريسيل بكمبوند فخم  بالعاصمة الادارية متشطب بالتكييفات تشطيب فندقي,202,3,3,٣ غرف نوم | ٣ حمّامات ,2000000
النزهة,شقة بالنزهة الجديدة,170,3,2,٣ غرف نوم | حمّامين ,2000000
التجمع الخامس,شقه للبيع في التجمع الخامس علي التسعين مباشرة متشطبه بالتكيفات,121,3,3,٣ غرف نوم | ٣ حمّامات ,800000
التجمع الخامس,شقه للبيع متشطبه 205م في التجمع الخامس في الجولدن اسكوير,205,5,4,٥ غرف نوم | ٤ حمّامات ,800000
التجمع الخامس,شقة ريسيل بارخص سعر متر في العاصمة متشطب بالتكييفات 14 الف للمتر,187,2,2,٢ غرفتا نوم | حمّامين ,2000000
زهراء المعادي,شقه لقطه زهراء المعادي,165,3,2,٣ غرف نوم | حمّامين ,3000000
القاهرة الجديدة,للبيع فى القاهرة الجديدة مونتنفيو اى سيتى شقة استلام فورى,155,3,3,٣ غرف نوم | ٣ حمّامات ,0
التجمع الخامس,#شقة #للبيع#افضل#كمبوند#بالتجمع#خدمات#,150,2,2,٢ غرفتا نوم | حمّامين ,2500000
التجمع الخامس,لأول مره فى النرجس الجديده عائد على المقدم,163,3,3,٣ غرف نوم | ٣ حمّامات ,2852500
التجمع الخامس,شقة ريسيل بأرخص سعر متر فى العاصمه متشطب بالتكييفات 14 الف للمتر,202,2,2,٢ غرفتا نوم | حمّامين ,2000000
التجمع الخامس,شقة ريسيل 202 بارخص سعر متر في العاصمة متشطب بالتكييفات 14 الف للمتر,202,2,2,٢ غرفتا نوم | حمّامين ,2000000
مدينة نصر,شقة للبيع ( كلية البنات مدينة نصر خلف دار الدفاع الجوي),106,3,1,٣ غرف نوم | حمّام ,2000000
الأميرية,شقه للبيع فى شارع الخليج المصرى (الاميريه ),90,2,1,٢ غرفتا نوم | حمّام ,700000
مدينة نصر,فرصة للسكن او للاستثمار بعمارات القوات المسلحة ال3000,86,2,1,٢ غرفتا نوم | حمّام ,950
أخرى,شقه 150 م لقطه ب675 الف اخر شارع الأربعين تقسيم سيجال خلف حديقه بدر جسر السويس محافظه القاهره,150,2,1,٢ غرفتا نوم | حمّام ,675000
التجمع الخامس,شقه بسعر لقطه للبيع فى التجمع الخامس بيت الوطن,210,4,2,٤ غرف نوم | حمّامين ,1880000
الحلمية,شقه الترا سوبر لوكس للبيع بحلميه الزيتون تطل عل الشارع الرئيسي,100,2,1,٢ غرفتا نوم | حمّام ,1020000
العاصمة الإدارية الجديدة,"ليه تشتري شقة في منطقة ال R8 في قلب العاصمة الاداريه الجديدة؟؟
لانها موقع مميز جدا للاستثمار و الس",210,3,3,٣ غرف نوم | ٣ حمّامات ,2066000
العاصمة الإدارية الجديدة,"بتفكر تشتري شقه في العاصمه الاداريه:
 شقه ريسيل بسعر من سنتين فاتوا 

استلام سنه ونصف في العاصمه",210,3,3,٣ غرف نوم | ٣ حمّامات ,2066000
العاصمة الإدارية الجديدة,"استمتع بحياه الرفاهية و الخصوصية في اميز كمبوند في العاصمة الادارية الجديدة
لشقة ريسيل متشطبة تشطي",210,3,3,٣ غرف نوم | ٣ حمّامات ,2066000
العاصمة الإدارية الجديدة,"لو عايز شقة استثمار و سكني
جبتلك شقة ريسيل بأرخص سعر متر في كمبوند في العاصمة الادارية 14.600 جنية",210,3,3,٣ غرف نوم | ٣ حمّامات ,2066000
زهراء المعادي,شقه لقطه للبيع زهراء المعادي,320,5,5,٥ غرف نوم | ٥ حمّامات ,6000000
المرج,شارع 23يوليوالمرج الجديدة,100,3,1,٣ غرف نوم | حمّام ,110000
مدينتي,شقة 74م للبيع بمدينتي بالتقسيط على 10سنين بمقدم مليون و100 الف في البى 12 مدينتي,74,2,1,٢ غرفتا نوم | حمّام ,1100000
التجمع الخامس,شقه كبيره استلام فورى في كمبوند ستون ريزيدنس التجمع,220,4,3,٤ غرف نوم | ٣ حمّامات ,4500000
التجمع الخامس,شقه للبيع في التجمع الخامس النرجس الجديده,163,3,3,٣ غرف نوم | ٣ حمّامات ,2852000
وسط القاهرة,شقه للبيع تشطيب سوبر لوكس,90,2,1,٢ غرفتا نوم | حمّام ,450000
التجمع الخامس,شقة لقطة بكمبوند بالتجمع الخامس,137,2,2,٢ غرفتا نوم | حمّامين ,3000000
مدينتي,شقة تخصيص مميزة,131,3,2,٣ غرف نوم | حمّامين ,450000
شيراتون,شقه للبيع  واجهه / سوبر لوكس / شيراتون 120م,120,2,1,٢ غرفتا نوم | حمّام ,1850000
النزهة,"شقة لقطة للبيع ش دكتور حربي متفرع من شارع الخمسين
مساحه 120م الدور الثاني",120,3,2,٣ غرف نوم | حمّامين ,0
اكتوبر الجديدة,شقة غرفتين لقطة للبيع بي 6 اكتوبر قريبة من طريق اكتوبر وادي نطرون,117,3,2,٣ غرف نوم | حمّامين ,3191000
العاصمة الإدارية الجديدة,شقة للبيع بي R3 امام البرج الايقوني وقريب من القصر الرئاسي,133,3,2,٣ غرف نوم | حمّامين ,4220000
التجمع الأول,‎دوبلكس للبيع داخل كمبوند كريك تاون علي الجولدن اسكوير مباشرا,195,3,2,٣ غرف نوم | حمّامين ,10165000
التجمع الخامس,‎شقة استلام فوري بكمبوند قطامية جاردنز للبيع بالتجمع الخامس,135,2,2,٢ غرفتا نوم | حمّامين ,4117000
العاصمة الإدارية الجديدة,شقه متشطبه بسعر 14500 المتر بالعاصمه 214 متر متشطبه سوبر لوكس,214,3,2,٣ غرف نوم | حمّامين ,3000000
النزهة,شقة تمليك في النزهة,100,2,1,٢ غرفتا نوم | حمّام ,470000
العاصمة الإدارية الجديدة,"لو عايز شقة استثمار و سكني
جبتلك شقة ريسيل بأرخص سعر متر في كمبوند في العاصمة الادارية 14.600
بمس",210,3,3,٣ غرف نوم | ٣ حمّامات ,2066000
العاصمة الإدارية الجديدة,"ليه تشتري شقة في منطقة ال R8 في قلب العاصمة الاداريه الجديدة؟؟
لانها موقع مميز جدا للاستثمار و الس",210,3,3,٣ غرف نوم | ٣ حمّامات ,2066000
العاصمة الإدارية الجديدة,"استمتع بحياه الرفاهية و الخصوصية في اميز كمبوند في العاصمة الادارية الجديدة 
لشقة ريسيل متشطبة تشطي",210,3,3,٣ غرف نوم | ٣ حمّامات ,2066000
العاصمة الإدارية الجديدة,"لو عايز شقة استثمار و سكني
جبتلك شقة ريسيل بأرخص سعر متر في كمبوند في العاصمة الادارية 14.600
ب",210,3,3,٣ غرف نوم | ٣ حمّامات ,2066000
التجمع الخامس,شقه نص تشطيب غير مجروحه بحري تتطل على القطاميه ديوز,170,3,2,٣ غرف نوم | حمّامين ,1900000
العاصمة الإدارية الجديدة,"بالعاصمه الاداريه شقه بسعر 14,500 للمتر متشطبه بالتكيفات",214,3,2,٣ غرف نوم | حمّامين ,3000000
التجمع الأول,M-شقه للبيع في كمبوند تاج سيتي امام مطار القاهرة,158,3,2,٣ غرف نوم | حمّامين ,556000
مدينة الشروق,M- شقة للبيع استلام فوري في كمبوند الباتيو بالشروق,165,3,2,٣ غرف نوم | حمّامين ,1300000
التجمع الخامس,امتلك شقة ف اميز مواقع القاهرة الجديده حي النورث هاوس الاكثر تميزا ع طريق السويس مباشره,124,3,2,٣ غرف نوم | حمّامين ,1800000
اكتوبر الجديدة,عقرات وشقق,169,3,3,٣ غرف نوم | ٣ حمّامات ,760500
مدينة الشروق,شقه للبيع استلام فوري بالتقسيط علي 6 سنوات بكمبوند لافيستا كازا la vista cass,165,3,2,٣ غرف نوم | حمّامين ,975000
مدينة بدر,شقق للبيع بحدائق العاصمة,90,3,1,٣ غرف نوم | حمّام ,0
المعادي,شقة فندقيه فخمة 430م لسرعة البيع بانوراما علي النيل بالاقساط,430,4,3,٤ غرف نوم | ٣ حمّامات ,10000000
التجمع الخامس,شقة 137م استلام فوري وقسط علي 4 سنين,137,3,3,٣ غرف نوم | ٣ حمّامات ,2190000
أخرى,شقه بحدائق الهرم 205متر,205,3,3,٣ غرف نوم | ٣ حمّامات ,2930000
مدينة بدر,استلم شقتك في ارقي احياء مدينه بدر,70,2,1,٢ غرفتا نوم | حمّام ,858
التجمع الخامس,شقة 190م للبيع ,190,3,3,٣ غرف نوم | ٣ حمّامات ,20300000
حى الاندلس,شقه استلام 6 شهور في التجمع,160,3,2,٣ غرف نوم | حمّامين ,2240000
التجمع الخامس,شقة 185 متر بكمبوند بالتجمع الخامس بمقدم 550 الف فقط وتقسيط علي 8 سنوات,158,3,2,٣ غرف نوم | حمّامين ,550000
أخرى,شقة للبيع في المسلسلات حدائق اكتوبر,145,3,2,٣ غرف نوم | حمّامين ,1200000
القاهرة الجديدة,شقه غرفتين في مستقبل سيتي,120,2,2,٢ غرفتا نوم | حمّامين ,3500000
العاصمة الإدارية الجديدة,استلم واسكن الان فورى بكمبوند oia بالعاصمة الادارية مبني بالكامل,125,2,2,٢ غرفتا نوم | حمّامين ,664500
اكتوبر الجديدة,Sun Roof للبيع في ماونتن فيو أكتوبر 150 متر,150,3,3,٣ غرف نوم | ٣ حمّامات ,1000000
مدينة بدر,كمبوند الحي الإيطالي مدينة بدر الحي الرابع أمام بوابة هليوبوليس قريبه من جامعة بدر,85,2,1,٢ غرفتا نوم | حمّام ,650000
التجمع الخامس,شقة 158 متر بالتجمع الخامس بمقدم 550 الف فقط وتقسيط حتي 8 سنوات,158,3,2,٣ غرف نوم | حمّامين ,550000
عين شمس,شقة للبيع 4 غرف على شارع عين شمس الرئيسي - بجوار حاتي أحمد ندا و التوحيد و النور,145,4,2,٤ غرف نوم | حمّامين ,1450000
التجمع الخامس,شقة للبيع بالتجمع الخامس كومباوند النيابة الإدارية,130,3,2,٣ غرف نوم | حمّامين ,0
حلوان,شقه بحري كلها غير مجروحه نهائي تري كورنيش النيل والمقطم,1351,2,2,٢ غرفتا نوم | حمّامين ,330000
هليوبوليس الجديدة,ياسين العقارات,320,5,3,٥ غرف نوم | ٣ حمّامات ,4000000
التجمع الخامس,شقه للبيع مساحة 275 متر اقل سعر متر بالتقسيط,275,3,3,٣ غرف نوم | ٣ حمّامات ,3300000
المقطم,شقه في المقطم مميزه,220,3,2,٣ غرف نوم | حمّامين ,3000000
مدينة الرحاب,شقه للايجار في الرحاب 131متر مفروش امام السوق الشرقي,131,3,2,٣ غرف نوم | حمّامين ,25000
مدينة الشروق,شقه تمليك للبيع في كمبوند وصال,160,3,2,٣ غرف نوم | حمّامين ,960000
مدينتي,شقه 103 للبيع بمدينتي,103,3,2,٣ غرف نوم | حمّامين ,2343074
المرج,المرج الجديده شارع 23يوليو,95,3,1,٣ غرف نوم | حمّام ,130000
التجمع الخامس,شقه دوبلكس علي بعد اقل من 4 دقايق من ال90 و واتر واي 220 متر فوق و 110 متر تحت ارضي و بدروم دوبلكس,330,4,3,٤ غرف نوم | ٣ حمّامات ,5500000
العاصمة الإدارية الجديدة,ادفع 5.098000 واستلم شقتك في اكبر كمباوند لافينير في المستقبل بمساحات تبدأ من 160م وتسهيلات تصل ل6سن,160,3,2,٣ غرف نوم | حمّامين ,5098000
التجمع الخامس,ڤيلا دوبلكس متشطبة,300,3,2,٣ غرف نوم | حمّامين ,1750000
التجمع الخامس,روف في النرجس ڤيلات 200 متر,200,3,2,٣ غرف نوم | حمّامين ,3000000
التجمع الخامس,استلام فوري بالتقسيط في الحي الثاني بيت الوطن,180,3,2,٣ غرف نوم | حمّامين ,0
التجمع الخامس,استلام فورى بالتقسيط في حي الأندلس 150متر,165,3,2,٣ غرف نوم | حمّامين ,0
العبور,استلام فوري بالعبور شريط الجولف بالتقسيط,200,3,2,٣ غرف نوم | حمّامين ,0
التجمع الخامس,استلم فورا بالنرجس الجديدة بالتقسيط,205,3,3,٣ غرف نوم | ٣ حمّامات ,0
حلوان,بدروم سكني في وادي حوف في منطقة هادئة,110,2,1,٢ غرفتا نوم | حمّام ,640000
العاصمة الإدارية الجديدة,دوبلكس بسعر لقطه في العاصمه,287,4,5,٤ غرف نوم | ٥ حمّامات ,7200000
الساحل,امتلك استوديو في الساحل بمساحة 81  ب2.835.000,81,1,1,ستوديو | حمّام ,2895000
العاصمة الإدارية الجديدة,استلم شقتك فوري الان بكمبوند علي موقع متميز جدا بالعاصمة الادارية سكان بالكامل,175,2,2,٢ غرفتا نوم | حمّامين ,664500
المعادي,شقة فندقيه فخمة للجادين فقط 430م بانوراما علي النيل دايركت,430,4,3,٤ غرف نوم | ٣ حمّامات ,10000000
الروضة,شقه في ارقى شوارع المنيل شارع المقياس,120,4,1,٤ غرف نوم | حمّام ,1200000
مدينة بدر,شقة للبيع.,100,3,1,٣ غرف نوم | حمّام ,850000
مصر الجديدة,شقه تمليك للبيع بالنزهه الجديده,130,3,2,٣ غرف نوم | حمّامين ,15000000
مصر الجديدة,شقه 145م للبيع / مصر الجديده  عمارات العبور / فيو مفتوح,145,3,1,٣ غرف نوم | حمّام ,2100000
مصر الجديدة,114شارع الحجاز بين ميدان الحجاز وميدان هليوبوليس,215,3,2,٣ غرف نوم | حمّامين ,4500000
مصر الجديدة,شقه للبيع 145م بالتكييفات والمطبخ / عمارات العبور مصر الجديده,145,2,2,٢ غرفتا نوم | حمّامين ,2100000
القاهرة الجديدة,K-شقه للبيع بجاردن ف القاهره الجديده دقايق من مدينتي,160,3,2,٣ غرف نوم | حمّامين ,5353000
التجمع الأول,K-شقه للبيع 175م امام بوابات المطار في التجمع الاول,175,3,2,٣ غرف نوم | حمّامين ,657000
التجمع الخامس,"شقتك استلام فوري باحدث مشاريع التجمع الخامس 
في منطقة ال (Golden Square) 
و في منطقة المستثم",120,3,2,٣ غرف نوم | حمّامين ,960000
التجمع الخامس,كمبوند silvia,150,3,3,٣ غرف نوم | ٣ حمّامات ,0
الدائري,الحق احجز شقتك قبل ارتفاع الاسعار بمقدم 7%في كمباوند one kattameya علي حرم دائري المعادي,129,3,1,٣ غرف نوم | حمّام ,283542
اكتوبر الجديدة,I-apartment للبيع في ماونتن فيو أكتوبر استلام سنة,210,4,3,٤ غرف نوم | ٣ حمّامات ,806927088
اكتوبر الجديدة,شقه بكمبوند دجله بالمز,80,2,1,٢ غرفتا نوم | حمّام ,750000
التجمع الخامس,Palm hills New Cairo apartment 205 m,205,3,3,٣ غرف نوم | ٣ حمّامات ,7000180
هليوبوليس الجديدة,شقه سوبر لوكس 150 متر خالصه من اي مديونيات استلام فوري,150,3,2,٣ غرف نوم | حمّامين ,1650000
المستقبل,بسور مدينتي امتلك شقة 157م امام المستقبل بالتقسيط,157,3,2,٣ غرف نوم | حمّامين ,415000
التجمع الخامس,استلم فوري بنتهاوس بالتجمع باقل مقدم واطول فترة سداد (جالاريا),199,3,3,٣ غرف نوم | ٣ حمّامات ,10213000
العاصمة الإدارية الجديدة,"شقة ريسيل للبيع بأرخص سعر في العاصمة الادارية 
بمساحة 210 متر 
تشطيب فندقي كامل
كمبوند كامل المر",210,3,3,٣ غرف نوم | ٣ حمّامات ,2066000
التجمع الخامس,شقة للبيع 140 متر,140,3,2,٣ غرف نوم | حمّامين ,2100000
التجمع الخامس,‎استلم شقتك متشطبة تشطيب فندقي واستلام فوري بالتجمع الخامس,171,3,2,٣ غرف نوم | حمّامين ,6500000
التجمع الخامس,"شقتك في قلب التجمع الخامس 
علي شارع التسعين الجنوبي مباشرة 
تشطيب الترا سوبر لوكس 
7 دقائق لمدين",175,3,3,٣ غرف نوم | ٣ حمّامات ,682000
التجمع الخامس,"شقتك في قلب التجمع الخامس في كمبوند تاج سيتي
7 دقائق للجامعة الامريكية 
5 دقائق للرحاب
10 دقائ",158,3,2,٣ غرف نوم | حمّامين ,550000
التجمع الخامس,شقة ريسيل في كمبوند مراسم مرحلة أولي,148,3,2,٣ غرف نوم | حمّامين ,7000000
التجمع الخامس,"التجمع الحامس،
النورث هاوس
قطعه C7",324,3,3,٣ غرف نوم | ٣ حمّامات ,2550000
مصر الجديدة,امتلك وحدتك السكنية في شيراتون بجوار مطار القاهرة بالتقسيط علي 4 سنوات,156,3,2,٣ غرف نوم | حمّامين ,4482298
المستقبل,شقة للبيع في المستقبل سيتي استلام سنتين في لاميرادا امام مدينتي مباشرة  142 م,142,3,2,٣ غرف نوم | حمّامين ,3725821
التجمع الخامس,انا المالك سوبر لوكس و بالتقسيط للبيع دوبلكس في التجمع الخامس اخر ش التسعين,360,3,2,٣ غرف نوم | حمّامين ,4000000
القطامية,شقة سوبر لوكس للبيع70 م2,70,2,1,٢ غرفتا نوم | حمّام ,1000000
مصر الجديدة,عاين وحدتك عالطبيعة واستلم خلال سنة في  شيراتون مصر الجديدة وعلي طريق السويس,100,2,2,٢ غرفتا نوم | حمّامين ,5000000
شيراتون,للبيع / شقه 155م تصلح تمويل عقارى / مصر للتعمير شيراتون,155,3,2,٣ غرف نوم | حمّامين ,0
شبرا,شقه 127م للبيع بشارع راتب سانت تريزا شبرا مصر,127,3,2,٣ غرف نوم | حمّامين ,1250000
مصر الجديدة,شقة للبيع في شيراتون وعلي طريق السويس مباشرة متشطبة بالكامل استلام سنة,120,3,2,٣ غرف نوم | حمّامين ,6000000
التجمع الخامس,امام الماونتن فيو وثاني نمره من شارع النوادي شقتك 167 متر استلام فوري بالع اد,167,3,2,٣ غرف نوم | حمّامين ,2650000
التجمع الخامس,شقق للتمليق قسط وكاش,160,3,2,٣ غرف نوم | حمّامين ,3000000
شيراتون,شقة للبيع 130 متر استلام فوري متشطبة بقلب مصر الجديدة,130,2,2,٢ غرفتا نوم | حمّامين ,1500000
المرج,شقه للبيع شارع الورشه متفرع من موسسه الزكاه عزبه النخل,120,3,1,٣ غرف نوم | حمّام ,550000
التجمع الأول,استلم شقتك فورى بالنرجس الجديدة  بمقدم 50 % واقساط علي سنتين,200,3,2,٣ غرف نوم | حمّامين ,2200000
المعادي,شقة فاخرة بالمعراج العلوى زهراء المعادى,330,5,3,٥ غرف نوم | ٣ حمّامات ,5500000
التجمع الأول,بجوار الرحاب شقتك 225 متر استلام فوري 3 نوم وليفنج,225,3,3,٣ غرف نوم | ٣ حمّامات ,3450000
مدينة بدر,شركة الاهرام للاستثمار العقاري,195,4,2,٤ غرف نوم | حمّامين ,0
التجمع الخامس,شقة 158 م بمقدم 550 الف فقط وتقسيط حتي 8 سنوات بالتجمع الخامس,158,3,2,٣ غرف نوم | حمّامين ,550000
مدينة نصر,"شقة للبيع المنطقة الثامنة مدينة نصر 
قريبة للسراج مول ومعهد الالسن",200,3,2,٣ غرف نوم | حمّامين ,3500000
مصر الجديدة,شقة للبيع مصر الجديدة,210,4,2,٤ غرف نوم | حمّامين ,4000000
المطرية,"دور كامل عباره عن شقتين 

الدور 11",187,3,1,٣ غرف نوم | حمّام ,700000
حدائق القبة,شقة 150متر للبيع بحدائق القبة,150,3,1,٣ غرف نوم | حمّام ,1200000
التجمع الخامس,شقة للبيع بكمبوند الدفاع الوطني التجمع الخامس,180,3,2,٣ غرف نوم | حمّامين ,3250000
الزمالك,تسويق عقاري,65,3,1,٣ غرف نوم | حمّام ,2000950
أخرى,ارخص شقه بالفرش,130,3,1,٣ غرف نوم | حمّام ,750000
التجمع الخامس,شقة في التجمع الخامس7,100,3,1,٣ غرف نوم | حمّام ,1300000000
الزيتون,شقه بالروف  للبيع بحدائق الزيتون علي المترو مباشرة,300,2,1,٢ غرفتا نوم | حمّام ,1800000
المعادي,شقة للبيع بشارع العروبة متفرع من كورنيش المعادي 175 متر,175,3,2,٣ غرف نوم | حمّامين ,950000
مدينة الشروق,شقة سوبر لوكس,200,3,2,٣ غرف نوم | حمّامين ,2600000
زهراء المعادي,شقه بجوار كارفور خلف مودرن اكايمى الداءرى فيو مفتوح على تيجان,210,4,2,٤ غرف نوم | حمّامين ,2000000
التجمع الأول,شقة للبيع كمبوند البستان نموذج عصفور الجنة التجمع الأول,85,2,1,٢ غرفتا نوم | حمّام ,2000000
التجمع الأول,شقة للبيع كمبوند البستان نموذج عصفور الجنة التجمع الأول,85,2,1,٢ غرفتا نوم | حمّام ,2000000
زهراء المعادي,شقه بجوار كارفور خلف مودرن اكايمى الداءرى فيو مفتوح على تيجان,210,4,2,٤ غرف نوم | حمّامين ,2000000
مدينة نصر,شقه للبيع مدينة نصر. كمبوند جاردينا سيتي,120,1,3,غرفة نوم | ٣ حمّامات ,2100000
مدينة الشروق,دوبلكس بالمنطقة الخامسة بمدينة الشروق,260,3,2,٣ غرف نوم | حمّامين ,2500000
الساحل,لفتره محدود دوبلكس متشطب بسعر شقه,200,4,3,٤ غرف نوم | ٣ حمّامات ,6200000
